juy,Month,Package,Low Price,High Price,Price
0,4,24 inch bins,270.0,280.0,275.0
1,5,24 inch bins,270.0,280.0,275.0
2,9,24 inch bins,160.0,160.0,160.0
3,9,24 inch bins,160.0,160.0,160.0
4,11,24 inch bins,90.0,100.0,95.0
5,11,24 inch bins,90.0,100.0,95.0
6,9,36 inch bins,160.0,170.0,165.0
7,9,36 inch bins,160.0,160.0,160.0
8,10,36 inch bins,160.0,170.0,165.0
9,10,36 inch bins,160.0,160.0,160.0
10,10,36 inch bins,160.0,170.0,165.0
11,10,36 inch bins,160.0,160.0,160.0
12,10,36 inch bins,150.0,160.0,155.0
13,10,36 inch bins,150.0,170.0,160.0
14,10,36 inch bins,150.0,160.0,155.0
15,10,36 inch bins,140.0,160.0,150.0
16,10,36 inch bins,100.0,160.0,130.0
17,10,36 inch bins,130.0,160.0,145.0
18,10,36 inch bins,130.0,130.0,130.0
19,11,36 inch bins,120.0,130.0,125.0
20,11,36 inch bins,100.0,130.0,115.0
21,11,36 inch bins,90.0,100.0,95.0
22,11,36 inch bins,100.0,120.0,110.0
23,9,36 inch bins,160.0,160.0,160.0
24,9,36 inch bins,160.0,160.0,160.0
25,9,36 inch bins,150.0,160.0,155.0
26,9,36 inch bins,150.0,160.0,155.0
27,9,24 inch bins,160.0,180.0,170.0
28,9,24 inch bins,180.0,180.0,180.0
29,6,24 inch bins,380.0,380.0,380.0
30,6,24 inch bins,380.0,380.0,380.0
31,6,24 inch bins,380.0,380.0,380.0
32,8,24 inch bins,200.0,200.0,200.0
33,8,24 inch bins,200.0,350.0,275.0
34,9,24 inch bins,350.0,350.0,350.0
35,9,24 inch bins,180.0,180.0,180.0
36,9,24 inch bins,200.0,200.0,200.0
37,9,24 inch bins,180.0,200.0,190.0
38,9,24 inch bins,180.0,200.0,190.0
39,9,24 inch bins,340.0,340.0,340.0
40,9,24 inch bins,240.0,250.0,245.0
41,9,24 inch bins,200.0,200.0,200.0
42,9,24 inch bins,340.0,340.0,340.0
43,9,24 inch bins,240.0,250.0,245.0
44,9,24 inch bins,180.0,200.0,190.0
45,8,50 lb sacks,29.0,29.0,29.0
46,8,50 lb sacks,29.0,29.0,29.0
47,8,50 lb sacks,28.0,29.0,28.5
48,8,50 lb sacks,28.0,29.0,28.5
49,8,50 lb sacks,29.0,29.0,29.0
50,9,50 lb sacks,29.0,29.0,29.0
51,9,50 lb sacks,15.0,15.0,15.0
52,9,50 lb sacks,24.0,24.0,24.0
53,9,50 lb sacks,15.0,15.0,15.0
54,9,24 inch bins,250.0,260.0,255.0
55,9,24 inch bins,250.0,260.0,255.0
56,10,24 inch bins,250.0,260.0,255.0
57,10,24 inch bins,250.0,260.0,255.0
58,10,24 inch bins,235.0,260.0,247.5
59,10,24 inch bins,250.0,260.0,255.0
60,10,24 inch bins,235.0,250.0,242.5
61,10,24 inch bins,230.0,240.0,235.0
62,10,24 inch bins,220.0,240.0,230.0
63,10,24 inch bins,230.0,230.0,230.0
64,11,24 inch bins,200.0,230.0,215.0
65,11,24 inch bins,200.0,230.0,215.0
66,11,24 inch bins,200.0,200.0,200.0
67,11,24 inch bins,200.0,200.0,200.0
68,11,24 inch bins,200.0,230.0,215.0
69,11,24 inch bins,210.0,210.0,210.0
70,9,1 1/9 bushel cartons,15.0,15.0,13.5
71,9,1 1/9 bushel cartons,18.0,18.0,16.2
72,10,1 1/9 bushel cartons,18.0,18.0,16.2
73,10,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
74,10,1 1/9 bushel cartons,15.0,15.0,13.5
